20	2	42	8	512	500	175.02	175.02	174.67	162.23	162.17
20	2	76	14	512	500	177.03	177.03	176.10	163.23	163.58
20	3	72	25	512	500	184.10	184.10	183.35	170.33	170.53
20	11	337	20	512	500	205.25	205.25	195.44	183.64	190.64
20	15	247	35	512	500	206.23	206.23	199.68	186.97	189.90
20	16	481	35	512	500	213.85	213.85	200.84	188.60	195.74
20	17	282	16	512	500	206.43	206.43	195.83	184.49	191.76
20	18	470	20	512	500	209.70	209.70	197.09	183.86	190.60
20	20	218	16	512	500	217.36	217.36	210.66	198.50	201.82
21	3	438	28	512	500	208.42	208.42	194.83	182.90	189.08
21	4	8	4	512	500	186.98	186.55	186.98	172.66	172.14
22	16	403	17	512	500	209.93	209.93	189.47	177.51	184.05
22	20	46	11	512	500	205.92	205.92	203.61	190.85	190.34
22	22	419	23	512	500	234.39	234.39	209.61	198.27	204.30
23	1	201	32	512	500	172.25	172.25	166.67	157.12	159.26
23	9	352	16	512	500	204.90	204.90	189.06	179.25	185.28
23	12	45	8	512	500	192.08	192.08	190.53	178.51	178.12
23	14	397	17	512	500	214.28	214.28	194.45	184.04	190.14
23	15	325	35	512	500	208.51	208.51	193.49	184.96	190.95
23	21	336	12	512	500	227.77	227.77	208.71	199.87	206.42
24	1	104	22	512	500	142.72	142.72	141.14	129.48	130.48
24	4	394	20	512	500	164.57	164.57	156.84	145.39	152.21
24	11	384	27	512	500	179.36	179.36	168.89	156.39	162.92
24	22	69	6	512	500	183.27	183.27	181.60	168.29	168.59
25	6	75	35	512	500	167.42	167.42	165.40	152.06	151.58
26	2	214	28	512	500	161.47	161.47	155.75	145.49	147.36
26	3	93	9	512	500	159.79	159.79	157.28	143.62	143.92
26	4	177	11	512	500	165.99	165.99	160.89	148.51	151.03
26	15	189	32	512	500	176.78	176.78	166.99	157.89	158.95
26	20	87	11	512	500	183.36	183.36	179.31	167.32	167.64
26	20	441	23	512	500	209.50	209.50	186.17	173.94	179.84
26	22	279	26	512	500	202.54	202.54	187.40	177.95	183.98
27	19	487	20	512	500	183.06	183.06	174.25	161.11	168.21
27	26	54	8	512	500	173.82	173.82	172.93	159.02	159.53
28	5	189	28	512	500	149.56	149.56	145.74	134.03	136.50
28	6	257	20	512	500	153.32	153.32	145.66	135.35	141.84
28	16	358	20	512	500	159.43	159.43	147.98	135.77	142.39
28	18	476	19	512	500	166.73	166.73	153.96	140.75	147.40
28	22	403	15	512	500	178.12	178.12	164.90	151.89	158.92
28	24	306	26	512	500	172.47	172.47	159.67	148.48	155.15
28	28	88	29	512	500	164.65	164.65	161.68	150.40	150.49
29	7	168	15	512	500	163.71	163.71	158.00	146.08	146.88
29	8	28	27	512	500	159.73	159.73	159.48	147.83	146.41
29	8	112	26	512	500	164.62	164.62	160.52	149.70	148.44
29	9	445	28	512	500	182.36	182.36	164.11	153.42	159.21
29	10	282	15	512	500	172.63	172.63	159.91	151.99	158.28
29	11	157	27	512	500	179.35	179.35	172.31	160.29	160.72
29	13	58	12	512	500	165.44	165.44	162.92	152.59	151.69
29	15	84	7	512	500	165.64	165.64	161.82	149.68	149.75
29	18	175	22	512	500	173.20	173.20	164.84	156.13	157.68
29	23	207	12	512	500	189.38	189.38	178.44	166.92	169.30
30	6	90	14	512	500	138.53	138.53	137.13	126.06	126.33
30	9	104	15	512	500	143.52	143.52	141.47	128.37	129.49
30	18	35	6	512	500	148.76	148.76	148.35	136.75	136.37
30	19	173	23	512	500	156.24	156.24	150.59	138.76	141.53
30	23	498	20	512	500	166.77	166.77	152.40	138.93	145.64
30	27	337	29	512	500	165.92	165.92	152.69	140.91	147.59
30	30	93	13	512	500	156.21	156.21	153.72	141.85	142.27
30	30	329	18	512	500	168.70	168.70	155.34	143.02	149.95
31	3	136	32	512	500	146.48	146.48	142.93	133.09	132.91
31	4	203	22	512	500	149.66	149.66	143.58	133.89	135.43
31	7	290	26	512	500	161.67	161.67	151.67	144.90	150.17
31	8	262	22	512	500	163.30	163.30	152.25	145.75	151.14
31	19	77	21	512	500	170.81	170.81	166.55	156.27	155.47
31	19	334	28	512	500	184.24	184.24	166.91	159.82	164.83
31	23	24	18	512	500	169.80	169.80	168.85	157.01	155.75
31	23	84	34	512	500	173.86	173.86	169.79	158.25	157.46
31	28	199	18	512	500	184.20	184.20	173.02	163.30	164.91
32	6	157	9	512	500	133.02	133.02	130.37	116.92	118.30
32	13	24	20	512	500	136.30	136.30	136.12	122.75	121.67
32	14	194	14	512	500	136.84	136.84	130.99	119.08	121.87
32	18	100	20	512	500	140.39	140.39	136.90	125.15	124.98
32	22	481	34	512	500	160.98	160.98	147.13	135.07	141.38
32	22	484	30	512	500	156.29	156.29	142.99	130.27	136.88
32	25	167	15	512	500	146.94	146.94	142.29	129.55	130.70
32	26	274	23	512	500	154.44	154.44	142.05	131.46	138.15
32	29	21	12	512	500	147.56	147.56	147.25	134.96	134.09
32	32	92	5	512	500	145.50	145.50	143.02	129.81	130.41
33	5	290	14	512	500	143.00	143.00	132.53	123.03	128.30
33	6	211	21	512	500	140.65	140.65	134.05	122.83	124.07
33	9	71	26	512	500	138.77	138.77	136.48	125.80	123.94
33	13	411	34	512	500	161.39	161.39	138.51	128.01	132.68
33	15	483	22	512	500	170.87	170.87	143.75	132.02	137.02
33	17	289	17	512	500	153.96	153.96	137.80	129.13	133.49
34	5	275	18	512	500	143.22	143.22	133.93	126.80	132.11
34	7	255	11	512	500	141.93	141.93	132.38	119.94	122.20
34	15	421	28	512	500	160.62	160.62	137.64	127.05	131.85
34	20	298	16	512	500	164.32	164.32	147.35	137.81	144.02
34	21	93	20	512	500	152.86	152.86	148.51	136.85	135.93
34	21	223	24	512	500	158.71	158.71	146.51	136.72	137.51
34	22	464	23	512	500	179.32	179.32	154.75	142.70	148.05
34	31	26	7	512	500	158.05	158.05	157.38	144.90	143.84
35	3	18	18	512	500	117.13	116.67	117.13	105.61	103.82
35	5	194	13	512	500	129.78	129.78	123.93	113.49	115.26
35	11	43	25	512	500	128.43	128.43	127.10	115.72	114.34
35	14	480	24	512	500	159.09	159.09	132.12	121.14	125.80
